Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
20-08-2010,59.2700,59.8200,59.0800,59.5700,0,0,951100
23-08-2010,59.9200,60.4800,59.3000,59.3700,0,0,990500
24-08-2010,59.1400,59.1400,58.1700,58.6400,0,0,1181000
25-08-2010,58.2400,59.0000,58.0700,58.7300,0,0,906200
26-08-2010,58.7800,59.1300,58.2800,58.2900,0,0,716200
27-08-2010,58.1700,58.2300,57.0000,58.0100,0,0,1460500
30-08-2010,57.6300,57.8800,57.2600,57.3200,0,0,781400
31-08-2010,57.2600,57.6000,56.7300,57.2800,0,0,1288800
01-09-2010,58.7300,59.7900,58.7300,59.7000,0,0,1810000
02-09-2010,59.0300,60.0400,59.0300,59.7700,0,0,1160600
03-09-2010,60.2400,60.8400,59.9100,60.6600,0,0,1386200
07-09-2010,61.1300,61.1800,60.5500,60.8300,0,0,919800
08-09-2010,61.4600,62.3100,61.4300,61.6300,0,0,1152300
09-09-2010,62.0100,62.1300,61.6800,61.8400,0,0,1010800
10-09-2010,62.1800,62.6500,61.9700,62.3300,0,0,486100
13-09-2010,63.1000,64.8600,63.1000,64.7100,0,0,1917600
14-09-2010,64.6700,65.4700,64.5300,65.1100,0,0,1624500
15-09-2010,65.4500,65.6000,64.3200,64.7600,0,0,2401900
16-09-2010,64.4000,64.9800,64.4000,64.9100,0,0,707600
17-09-2010,64.7600,65.2100,64.7300,65.0700,0,0,1413500
20-09-2010,65.4800,66.2500,65.0200,66.1600,0,0,1330500
21-09-2010,66.9400,66.9800,65.3900,65.8800,0,0,1628200
22-09-2010,65.8700,66.4400,65.2100,65.5400,0,0,1235200
23-09-2010,65.3400,65.9200,65.2400,65.4100,0,0,1250000
24-09-2010,66.4200,67.2100,66.1900,66.8800,0,0,1614600
27-09-2010,66.5000,67.0000,66.1300,66.1300,0,0,1090000
28-09-2010,66.4100,67.4400,65.9500,67.2400,0,0,1323900
29-09-2010,67.3200,67.4500,66.7000,67.1300,0,0,1105600
30-09-2010,67.4100,67.9900,66.6900,67.3100,0,0,1030800
01-10-2010,69.0700,70.9200,69.0700,70.5200,0,0,3094400
04-10-2010,69.8900,69.8900,68.1400,68.8100,0,0,1873800
05-10-2010,69.2500,69.9800,69.1500,69.7300,0,0,1027500
06-10-2010,69.3500,69.7300,68.6800,69.0200,0,0,1597700
07-10-2010,68.9000,69.3800,68.6000,68.8500,0,0,994900
08-10-2010,69.3900,69.7800,68.7000,69.4900,0,0,1148700
11-10-2010,69.2000,69.6800,68.6300,68.8000,0,0,1255800
12-10-2010,68.3300,69.0200,68.1400,68.9400,0,0,1070000
13-10-2010,70.2500,71.4500,70.2500,71.2000,0,0,1824200
14-10-2010,71.5800,71.9900,70.5900,71.0100,0,0,1559600
15-10-2010,70.1900,70.7000,68.1000,68.6100,0,0,3743500
18-10-2010,69.1100,69.4900,68.2100,68.7300,0,0,2545400
19-10-2010,66.8000,66.9900,65.9800,66.3400,0,0,2088200
20-10-2010,66.7100,67.2000,66.6500,66.8300,0,0,1586000
21-10-2010,67.5000,67.8500,66.7100,67.4200,0,0,2382800
22-10-2010,67.8100,68.2900,67.6700,67.9600,0,0,1269600
25-10-2010,68.3400,68.3400,67.3600,67.5200,0,0,1196600
26-10-2010,67.0700,67.4800,66.7300,67.1900,0,0,1189800
27-10-2010,66.7300,66.8600,65.8600,66.4000,0,0,1526000
28-10-2010,67.0900,67.3500,66.5500,66.9000,0,0,1560700
29-10-2010,66.8800,67.4600,66.6200,67.4400,0,0,1244800
01-11-2010,67.6600,68.0300,66.6500,67.2200,0,0,1439700
02-11-2010,67.5600,68.1300,67.5600,67.7700,0,0,1171600
03-11-2010,67.6700,68.2000,67.4000,68.0900,0,0,833100
04-11-2010,69.4500,69.7900,69.0700,69.5600,0,0,1234400
05-11-2010,69.5900,69.6000,68.8000,68.9600,0,0,1165400
08-11-2010,68.4900,68.4900,67.7700,67.9800,0,0,942600
09-11-2010,68.3700,68.7700,67.2200,67.3900,0,0,1571100
10-11-2010,68.6400,69.2000,67.8900,68.3200,0,0,1361800
11-11-2010,68.0000,68.3500,67.3100,67.6500,0,0,1305000
12-11-2010,67.0400,67.4400,66.0000,66.3000,0,0,1755700
15-11-2010,66.8800,67.3900,66.3500,66.4700,0,0,799600
16-11-2010,65.5000,65.7300,64.2900,64.6100,0,0,1224600
17-11-2010,64.5300,65.1500,64.3800,64.5100,0,0,1358200
18-11-2010,65.8700,66.7400,65.8700,66.3400,0,0,1560700
19-11-2010,65.8000,66.0900,65.1200,65.9400,0,0,1001800
22-11-2010,66.7500,67.1900,66.2100,67.0800,0,0,853300
23-11-2010,65.9600,66.4100,65.1800,65.6900,0,0,788400
24-11-2010,65.9500,67.0900,65.9500,66.8400,0,0,1246300
26-11-2010,66.2100,67.3600,66.1000,66.9600,0,0,456300
29-11-2010,66.3800,66.6000,65.6200,66.3800,0,0,1360100
30-11-2010,65.4600,66.3400,65.4100,66.1500,0,0,812200
01-12-2010,67.4400,68.1800,67.1400,67.8500,0,0,724700
02-12-2010,67.7500,69.3800,67.6200,69.2700,0,0,936400
03-12-2010,69.1900,69.7000,68.9600,69.3300,0,0,484700
06-12-2010,69.6700,70.3000,69.2600,69.4800,0,0,616300
07-12-2010,70.6100,70.9400,69.9500,70.1100,0,0,1015700
08-12-2010,69.8000,70.4000,69.4300,70.0600,0,0,592700
09-12-2010,70.0000,70.0000,69.2800,69.4700,0,0,897800
10-12-2010,69.9900,70.1300,69.3100,69.7700,0,0,860300
13-12-2010,70.2700,70.6400,69.8800,70.4600,0,0,797000
14-12-2010,70.2600,71.6300,69.9500,71.3000,0,0,1391500
15-12-2010,71.0000,71.8100,70.7700,71.4200,0,0,1595200
16-12-2010,72.0100,73.6100,71.7000,73.5700,0,0,1623400
17-12-2010,73.2900,73.9300,73.0900,73.7600,0,0,1790600
20-12-2010,73.7600,74.1100,73.1700,73.7500,0,0,598500
21-12-2010,73.8400,74.3600,73.4100,74.0400,0,0,880300
22-12-2010,73.9600,74.3400,73.7100,74.2000,0,0,554300
23-12-2010,74.3000,75.0000,74.2100,74.8500,0,0,537400
27-12-2010,74.5000,75.4000,74.1000,75.0400,0,0,380800
28-12-2010,75.1000,75.3700,74.9600,75.0100,0,0,497800
29-12-2010,75.2000,76.2000,75.2000,75.8200,0,0,588800
30-12-2010,76.0800,76.8800,76.0100,76.4100,0,0,781900
31-12-2010,76.1500,76.5400,75.8400,76.0800,0,0,526400
03-01-2011,76.8800,77.9200,76.8100,77.5300,0,0,688100
04-01-2011,77.3400,77.5200,76.1200,76.8800,0,0,654700
05-01-2011,77.2100,77.8500,76.2900,77.3800,0,0,980200
06-01-2011,76.9700,77.6600,76.8400,77.2900,0,0,696200
07-01-2011,75.9400,76.1700,75.0200,75.7600,0,0,1748300
10-01-2011,75.2000,76.1900,74.8900,75.2400,0,0,2380500
11-01-2011,74.4600,75.5500,74.2600,75.2000,0,0,1976200
12-01-2011,75.5200,77.0100,74.6900,76.6800,0,0,1562900
13-01-2011,72.0000,72.8200,70.7000,71.8400,0,0,3975700
14-01-2011,71.7600,72.0800,70.4800,70.7300,0,0,2043000
18-01-2011,72.8000,73.2000,70.9500,71.0700,0,0,3180400
19-01-2011,70.8800,71.6000,70.4200,70.8500,0,0,1535000
20-01-2011,71.2000,71.8700,70.5500,70.6700,0,0,1682800
21-01-2011,71.2100,71.9500,70.1400,70.2900,0,0,1710100
24-01-2011,71.1600,71.5500,70.5500,70.9200,0,0,1572700
25-01-2011,70.6300,70.8700,69.5700,70.0000,0,0,1380000
26-01-2011,70.1800,70.5900,69.7000,70.4100,0,0,2387200
27-01-2011,70.3400,70.4100,69.8400,70.0600,0,0,2080700
28-01-2011,69.7500,69.9300,67.6200,67.6200,0,0,2214900
31-01-2011,67.4100,68.0300,67.4100,67.7100,0,0,1629600
01-02-2011,68.1200,68.9400,67.8000,68.7500,0,0,1879600
02-02-2011,68.1900,68.7500,67.7100,68.0200,0,0,1006400
03-02-2011,68.0000,68.6000,67.7400,68.3500,0,0,660500
04-02-2011,67.3400,67.8500,66.9400,67.6800,0,0,1288100
07-02-2011,68.2900,69.1300,67.7600,68.7400,0,0,1144800
08-02-2011,68.7000,69.1000,68.1100,68.9800,0,0,964400
09-02-2011,69.0000,69.0000,67.7000,68.0100,0,0,1010300
10-02-2011,67.0500,67.7800,66.7300,67.3200,0,0,1094500
11-02-2011,66.7400,67.1200,66.2600,67.1200,0,0,1645200
14-02-2011,67.6800,68.5600,67.6800,68.1400,0,0,1178000
15-02-2011,67.8400,68.6100,67.8400,68.2900,0,0,845200
16-02-2011,68.3400,69.1800,68.3100,68.6700,0,0,877600
17-02-2011,68.6000,69.6200,68.4500,69.5600,0,0,930300
18-02-2011,69.0800,69.6000,68.7600,69.3700,0,0,1086500
22-02-2011,68.6800,68.9800,67.1600,67.4000,0,0,1498500
23-02-2011,67.4300,67.5800,66.1100,66.5200,0,0,1405400
24-02-2011,66.5900,66.7800,65.7100,66.5200,0,0,1081100
25-02-2011,66.9000,67.6900,66.5500,67.3400,0,0,1101500
28-02-2011,67.3700,67.3700,66.4800,66.7000,0,0,1042800
01-03-2011,68.3100,68.4200,66.2900,66.5600,0,0,1487000
02-03-2011,66.3800,67.5300,66.3800,66.8500,0,0,1445500
03-03-2011,67.3700,68.5600,67.3700,68.4000,0,0,1078400
04-03-2011,68.1300,68.2800,67.1400,67.6700,0,0,860900
